Data_Reference	Data_Origin	SRR_Sample	File_Accession	Experiment_Accession	Paired	Nature	Seqdepth
ENCSR204SMO.heart_right_ventricle.1_1_1	ENCODE	SRR14102914	ENCFF545CXV	ENCSR204SMO	paired-ended	fastq	413994397
ENCSR600ZHS.left_colon.1_1_2	ENCODE	SRR14107548	ENCFF250QRP	ENCSR600ZHS	paired-ended	fastq	830549969
ENCSR670REK.gastroesophageal_sphincter.1_1_1	ENCODE	SRR14107835	ENCFF812DSG	ENCSR670REK	paired-ended	fastq	335818479
ENCSR685ZMP.right_lobe_of_liver.1_1_2	ENCODE	SRR14107867	ENCFF450VXM	ENCSR685ZMP	paired-ended	fastq	1431172181
ENCSR542RNG.adrenal_gland.1_1_1	ENCODE	SRR14105636	ENCFF915NRF	ENCSR542RNG	paired-ended	fastq	1133653640
ENCSR836FIL.right_lobe_of_liver.1_2_1	ENCODE	SRR14104225	ENCFF395QVN	ENCSR836FIL	paired-ended	fastq	1310597965
ENCSR212LAZ.fallopian_tube.1_1_2	ENCODE	SRR14102989	ENCFF517NJC	ENCSR212LAZ	paired-ended	fastq	731615963
ENCSR062SVK.right_atrium_auricular_region.1_1_1	ENCODE	SRR10388415	ENCFF138HVL	ENCSR062SVK	paired-ended	fastq	231569813
ENCSR584AXZ.coronary_artery.1_1_1	ENCODE	SRR14305353	ENCFF049NKX	ENCSR584AXZ	paired-ended	fastq	173365413
ENCSR157OSO.heart_right_ventricle.1_1_1	ENCODE	SRR14105541	ENCFF162IKK	ENCSR157OSO	paired-ended	fastq	3391149124
ENCSR948MQC.lower_lobe_of_right_lung.1_1_2	ENCODE	SRR14107231	ENCFF485DGL	ENCSR948MQC	paired-ended	fastq	895686725
ENCSR695FLC.mucosa_of_gallbladder.1_1_1	ENCODE	SRR14107936	ENCFF111PBJ	ENCSR695FLC	paired-ended	fastq	495474548
ENCSR303PWB.esophagus_mucosa.1_1_1	ENCODE	SRR14104330	ENCFF250AHR	ENCSR303PWB	paired-ended	fastq	1075729318
ENCSR390SLL.left_cardiac_atrium.1_2_2	ENCODE	SRR14107258	ENCFF889IVR	ENCSR390SLL	paired-ended	fastq	278801750
ENCSR565DSD.fallopian_tube.1_1_1	ENCODE	SRR21927359	ENCFF441IYN	ENCSR565DSD	paired-ended	fastq	510691303
ENCSR439TZT.heart_right_ventricle.1_2_1	ENCODE	SRR14103609	ENCFF741OMI	ENCSR439TZT	paired-ended	fastq	1189000532
ENCSR212LYK.heart_right_ventricle.1_1_1	ENCODE	SRR14306070	ENCFF343GLF	ENCSR212LYK	paired-ended	fastq	4022882494
ENCSR548KIL.adrenal_gland.1_1_1	ENCODE	SRR14106063	ENCFF457QZC	ENCSR548KIL	paired-ended	fastq	521569643
ENCSR609GST.esophagus_muscularis_mucosa.1_1_1	ENCODE	SRR14305698	ENCFF935EXE	ENCSR609GST	paired-ended	fastq	131234821
ENCSR474XFV.thyroid_gland.1_1_1	ENCODE	SRR14104044	ENCFF033TLP	ENCSR474XFV	paired-ended	fastq	96395527
ENCSR999NKW.prostate_gland.1_1_1	ENCODE	SRR14306188	ENCFF598USO	ENCSR999NKW	paired-ended	fastq	188998332
ENCSR848TMJ.heart_left_ventricle.1_1_1	ENCODE	SRR21926706	ENCFF462KWU	ENCSR848TMJ	paired-ended	fastq	753142282
ENCSR451JSB.heart_left_ventricle.1_1_2	ENCODE	SRR21926749	ENCFF170PPU	ENCSR451JSB	paired-ended	fastq	1052009374
ENCSR851EBF.heart_left_ventricle.1_1_1	ENCODE	SRR14305744	ENCFF075UOA	ENCSR851EBF	paired-ended	fastq	250495735
ENCSR899YEP.heart_left_ventricle.1_2_1	ENCODE	SRR21926865	ENCFF779YWW	ENCSR899YEP	paired-ended	fastq	703653167
ENCSR113MBR.adrenal_gland.1_1_1	ENCODE	SRR14104407	ENCFF051QFS	ENCSR113MBR	paired-ended	fastq	428162249
ENCSR120MOY.sciatic_nerve.1_1_1	ENCODE	SRR14104529	ENCFF405ULF	ENCSR120MOY	paired-ended	fastq	549539291
ENCSR653ZWW.bile_duct.1_1_1	ENCODE	SRR21926761	ENCFF800EKO	ENCSR653ZWW	paired-ended	fastq	388303740
ENCSR775SYU.uterus.1_1_1	ENCODE	SRR14103709	ENCFF194CIT	ENCSR775SYU	paired-ended	fastq	811780562
ENCSR227FVE.ovary.1_3_1	ENCODE	SRR14103247	ENCFF701ZMO	ENCSR227FVE	paired-ended	fastq	777448164
ENCSR925LGW.heart_left_ventricle.1_1_2	ENCODE	SRR14106981	ENCFF259DFF	ENCSR925LGW	paired-ended	fastq	1309199433
ENCSR886VCC.psoas_muscle.1_1_1	ENCODE	SRR14105466	ENCFF056ASO	ENCSR886VCC	paired-ended	fastq	593866846
ENCSR344ZTM.thoracic_aorta.1_1_1	ENCODE	SRR14305710	ENCFF566LXM	ENCSR344ZTM	paired-ended	fastq	94779225
ENCSR731ODJ.left_cardiac_atrium.1_1_1	ENCODE	SRR14305436	ENCFF165ONS	ENCSR731ODJ	paired-ended	fastq	260098288
ENCSR855BMI.Right_ventricle_myocardium_inferior.1_1_1	ENCODE	SRR14104425	ENCFF936ZYB	ENCSR855BMI	paired-ended	fastq	739945673
ENCSR530XBF.pancreas.1_1_3	ENCODE	SRR14105507	ENCFF185YDO	ENCSR530XBF	paired-ended	fastq	1127269296
ENCSR668VCT.transverse_colon.1_1_1	ENCODE	SRR14305400	ENCFF974WES	ENCSR668VCT	paired-ended	fastq	367103852
ENCSR414DVK.adrenal_gland.1_1_1	ENCODE	SRR14306024	ENCFF524RSU	ENCSR414DVK	paired-ended	fastq	225779543
ENCSR403GBR.heart_right_ventricle.1_1_1	ENCODE	SRR21926602	ENCFF123WGP	ENCSR403GBR	paired-ended	fastq	1596473184
ENCSR490MSG.ovary.1_1_1	ENCODE	SRR14305070	ENCFF703OJH	ENCSR490MSG	paired-ended	fastq	219165103
ENCSR297VGU.kidney.1_1_1	ENCODE	SRR21927236	ENCFF196ERT	ENCSR297VGU	paired-ended	fastq	655391768
ENCSR607BTF.right_lobe_of_liver.1_1_2	ENCODE	SRR14107633	ENCFF917OXV	ENCSR607BTF	paired-ended	fastq	807025683
ENCSR624ODL.left_lobe_of_liver.1_1_1	ENCODE	SRR14107691	ENCFF511SZJ	ENCSR624ODL	paired-ended	fastq	1208729030
