"Data_Reference" "Data_Origin" "SRR_Sample" "File_Accession" "Experiment_Accession" "Paired" "Nature"
"ENCSR204SMO.heart_right_ventricle.1_1_1" "ENCODE" "SRR14102914" "ENCFF545CXV" "ENCSR204SMO" "paired-ended" "fastq"
"ENCSR600ZHS.left_colon.1_1_2" "ENCODE" "SRR14107548" "ENCFF250QRP" "ENCSR600ZHS" "paired-ended" "fastq"
"ENCSR670REK.gastroesophageal_sphincter.1_1_1" "ENCODE" "SRR14107835" "ENCFF812DSG" "ENCSR670REK" "paired-ended" "fastq"
"ENCSR017RQC.Peyers_patch.1_1_1" "ENCODE" "SRR14305118" "ENCFF272PIN" "ENCSR017RQC" "paired-ended" "fastq"
"ENCSR685ZMP.right_lobe_of_liver.1_1_2" "ENCODE" "SRR14107867" "ENCFF450VXM" "ENCSR685ZMP" "paired-ended" "fastq"
"ENCSR542RNG.adrenal_gland.1_1_1" "ENCODE" "SRR14105636" "ENCFF915NRF" "ENCSR542RNG" "paired-ended" "fastq"
"ENCSR836FIL.right_lobe_of_liver.1_2_1" "ENCODE" "SRR14104225" "ENCFF395QVN" "ENCSR836FIL" "paired-ended" "fastq"
"ENCSR212LAZ.fallopian_tube.1_1_2" "ENCODE" "SRR14102989" "ENCFF517NJC" "ENCSR212LAZ" "paired-ended" "fastq"
"ENCSR062SVK.right_atrium_auricular_region.1_1_1" "ENCODE" "SRR10388415" "ENCFF138HVL" "ENCSR062SVK" "paired-ended" "fastq"
"ENCSR584AXZ.coronary_artery.1_1_1" "ENCODE" "SRR14305353" "ENCFF049NKX" "ENCSR584AXZ" "paired-ended" "fastq"
"ENCSR157OSO.heart_right_ventricle.1_1_1" "ENCODE" "SRR14105541" "ENCFF162IKK" "ENCSR157OSO" "paired-ended" "fastq"
"ENCSR948MQC.lower_lobe_of_right_lung.1_1_2" "ENCODE" "SRR14107231" "ENCFF485DGL" "ENCSR948MQC" "paired-ended" "fastq"
"ENCSR695FLC.mucosa_of_gallbladder.1_1_1" "ENCODE" "SRR14107936" "ENCFF111PBJ" "ENCSR695FLC" "paired-ended" "fastq"
"ENCSR303PWB.esophagus_mucosa.1_1_1" "ENCODE" "SRR14104330" "ENCFF250AHR" "ENCSR303PWB" "paired-ended" "fastq"
"ENCSR390SLL.left_cardiac_atrium.1_2_2" "ENCODE" "SRR14107258" "ENCFF889IVR" "ENCSR390SLL" "paired-ended" "fastq"
"ENCSR565DSD.fallopian_tube.1_1_1" "ENCODE" "SRR21927359" "ENCFF441IYN" "ENCSR565DSD" "paired-ended" "fastq"
"ENCSR439TZT.heart_right_ventricle.1_2_1" "ENCODE" "SRR14103609" "ENCFF741OMI" "ENCSR439TZT" "paired-ended" "fastq"
"ENCSR212LYK.heart_right_ventricle.1_1_1" "ENCODE" "SRR14306070" "ENCFF343GLF" "ENCSR212LYK" "paired-ended" "fastq"
"ENCSR548KIL.adrenal_gland.1_1_1" "ENCODE" "SRR14106063" "ENCFF457QZC" "ENCSR548KIL" "paired-ended" "fastq"
"ENCSR609GST.esophagus_muscularis_mucosa.1_1_1" "ENCODE" "SRR14305698" "ENCFF935EXE" "ENCSR609GST" "paired-ended" "fastq"
"ENCSR474XFV.thyroid_gland.1_1_1" "ENCODE" "SRR14104044" "ENCFF033TLP" "ENCSR474XFV" "paired-ended" "fastq"
"ENCSR999NKW.prostate_gland.1_1_1" "ENCODE" "SRR14306188" "ENCFF598USO" "ENCSR999NKW" "paired-ended" "fastq"
"ENCSR848TMJ.heart_left_ventricle.1_1_1" "ENCODE" "SRR21926706" "ENCFF462KWU" "ENCSR848TMJ" "paired-ended" "fastq"
"ENCSR451JSB.heart_left_ventricle.1_1_2" "ENCODE" "SRR21926749" "ENCFF170PPU" "ENCSR451JSB" "paired-ended" "fastq"
"ENCSR851EBF.heart_left_ventricle.1_1_1" "ENCODE" "SRR14305744" "ENCFF075UOA" "ENCSR851EBF" "paired-ended" "fastq"
"ENCSR899YEP.heart_left_ventricle.1_2_1" "ENCODE" "SRR21926865" "ENCFF779YWW" "ENCSR899YEP" "paired-ended" "fastq"
"ENCSR113MBR.adrenal_gland.1_1_1" "ENCODE" "SRR14104407" "ENCFF051QFS" "ENCSR113MBR" "paired-ended" "fastq"
"ENCSR120MOY.sciatic_nerve.1_1_1" "ENCODE" "SRR14104529" "ENCFF405ULF" "ENCSR120MOY" "paired-ended" "fastq"
"ENCSR653ZWW.bile_duct.1_1_1" "ENCODE" "SRR21926761" "ENCFF800EKO" "ENCSR653ZWW" "paired-ended" "fastq"
"ENCSR775SYU.uterus.1_1_1" "ENCODE" "SRR14103709" "ENCFF194CIT" "ENCSR775SYU" "paired-ended" "fastq"
"ENCSR227FVE.ovary.1_3_1" "ENCODE" "SRR14103247" "ENCFF701ZMO" "ENCSR227FVE" "paired-ended" "fastq"
"ENCSR925LGW.heart_left_ventricle.1_1_2" "ENCODE" "SRR14106981" "ENCFF259DFF" "ENCSR925LGW" "paired-ended" "fastq"
