Sample	Seqdepth	Names	Limit	Downscaled Factor	Source
ENCSR851EBF	250495735	heart_left_ventricle	2.5e+08	0.998020984	ENCODE_Data
ENCSR761TKU	251327701	transverse_colon	2.5e+08	0.994717252	ENCODE_Data
ENCSR731ODJ	260098288	left_cardiac_atrium	2.5e+08	0.961175108	ENCODE_Data
ENCSR710SMN	267468191	heart_right_ventricle	2.5e+08	0.934690585	ENCODE_Data
ENCSR823ZCR	268373585	gastrocnemius_medialis	2.5e+08	0.931537282	ENCODE_Data
ENCSR078EBD	272382476	spleen	2.5e+08	0.917827034	ENCODE_Data
ENCSR864ADD	276742747	adrenal_gland	2.5e+08	0.903366042	ENCODE_Data
ENCSR390SLL	278801750	left_cardiac_atrium	2.5e+08	0.896694515	ENCODE_Data
ENCSR918TVE	282327904	pancreas	2.5e+08	0.885495186	ENCODE_Data
ENCSR846ZBX	289588276	breast_epithelium	2.5e+08	0.863294618	ENCODE_Data
ENCSR955JSO	291120801	breast_epithelium	2.5e+08	0.858750042	ENCODE_Data
ENCSR260ZIV	291517725	gastroesophageal_sphincter	2.5e+08	0.857580787	ENCODE_Data
ENCSR167SYF	293534143	cardiac_septum	2.5e+08	0.851689679	ENCODE_Data
ENCSR373TDL	296516855	right_lobe_of_liver	2.5e+08	0.843122392	ENCODE_Data
ENCSR086OGH	298246166	sigmoid_colon	2.5e+08	0.838233743	ENCODE_Data
ENCSR415LEB	309351017	jejunum	2.5e+08	0.808143456	ENCODE_Data
ENCSR533WFB	312184474	sciatic_nerve	2.5e+08	0.800808563	ENCODE_Data
ENCSR355SGJ	312294227	sigmoid_colon	2.5e+08	0.800527126	ENCODE_Data
ENCSR851SBY	316959807	stomach	2.5e+08	0.788743539	ENCODE_Data
ENCSR330WUK	319691173	left_cardiac_atrium	2.5e+08	0.782004701	ENCODE_Data
ENCSR452OSK	320681426	right_cardiac_atrium	2.5e+08	0.779589897	ENCODE_Data
ENCSR670REK	335818479	gastroesophageal_sphincter	2.5e+08	0.744449801	ENCODE_Data
ENCSR630REB	340492010	tibial_artery	2.5e+08	0.73423162	ENCODE_Data
ENCSR913FZQ	346633510	posterior_vena_cava	2.5e+08	0.721222827	ENCODE_Data
ENCSR694OWY	351346251	spleen	2.5e+08	0.711548791	ENCODE_Data
ENCSR654UYP	358166408	breast_epithelium	2.5e+08	0.697999573	ENCODE_Data
ENCSR548QCP	362217949	sigmoid_colon	2.5e+08	0.690192191	ENCODE_Data
ENCSR668VCT	367103852	transverse_colon	2.5e+08	0.681006202	ENCODE_Data
ENCSR788TRR	368011960	omental_fat_pad	2.5e+08	0.679325748	ENCODE_Data
ENCSR386HAZ	374254038	transverse_colon	2.5e+08	0.667995465	ENCODE_Data
ENCSR551CSY	386682922	mesenteric_fat_pad	2.5e+08	0.646524544	ENCODE_Data
ENCSR653ZWW	388303740	bile_duct	2.5e+08	0.643825887	ENCODE_Data
ENCSR846VLJ	389035078	sigmoid_colon	2.5e+08	0.642615574	ENCODE_Data
ENCSR890DWH	396284975	psoas_muscle	2.5e+08	0.630859144	ENCODE_Data
ENCSR540BML	396696701	subcutaneous_adipose_tissue	2.5e+08	0.630204384	ENCODE_Data
ENCSR337UIU	411050705	stomach	2.5e+08	0.608197473	ENCODE_Data
ENCSR204SMO	413994397	heart_right_ventricle	2.5e+08	0.603872907	ENCODE_Data
ENCSR736CIN	422919623	left_cardiac_atrium	2.5e+08	0.591128873	ENCODE_Data
ENCSR113MBR	428162249	adrenal_gland	2.5e+08	0.583890804	ENCODE_Data
ENCSR404LLJ	439834915	transverse_colon	2.5e+08	0.568395076	ENCODE_Data
ENCSR571JFO	472909617	ovary	2.5e+08	0.528642242	ENCODE_Data
ENCSR705RZX	490304809	uterus	2.5e+08	0.509886902	ENCODE_Data
ENCSR695FLC	495474548	mucosa_of_gallbladder	2.5e+08	0.504566786	ENCODE_Data
ENCSR548KIL	521569643	adrenal_gland	2.5e+08	0.479322375	ENCODE_Data
ENCSR120MOY	549539291	sciatic_nerve	2.5e+08	0.454926525	ENCODE_Data
ENCSR886VCC	593866846	psoas_muscle	2.5e+08	0.420969788	ENCODE_Data
ENCSR548SSP	598160553	mucosa_of_urinary_bladder	2.5e+08	0.417947989	ENCODE_Data
ENCSR213DBU	598988257	posterior_vena_cava	2.5e+08	0.417370453	ENCODE_Data
ENCSR822BAD	599261570	right_cardiac_atrium	2.5e+08	0.417180097	ENCODE_Data
ENCSR522FGI	601569075	heart_right_ventricle	2.5e+08	0.415579873	ENCODE_Data
ENCSR814RGG	607102710	ureter	2.5e+08	0.411791936	ENCODE_Data
ENCSR808ZMK	617276149	pancreas	2.5e+08	0.405005119	ENCODE_Data
ENCSR327DCG	635067400	heart_right_ventricle	2.5e+08	0.393659004	ENCODE_Data
ENCSR153IUB	639802740	mucosa_of_urinary_bladder	2.5e+08	0.390745435	ENCODE_Data
ENCSR297VGU	655391768	kidney	2.5e+08	0.381451236	ENCODE_Data
ENCSR040DJK	695505132	psoas_muscle	2.5e+08	0.359450978	ENCODE_Data
ENCSR072UYN	697105991	sciatic_nerve	2.5e+08	0.358625522	ENCODE_Data
ENCSR212LAZ	731615963	fallopian_tube	2.5e+08	0.341709329	ENCODE_Data
ENCSR619LHF	734045770	sciatic_nerve	2.5e+08	0.340578218	ENCODE_Data
ENCSR855BMI	739945673	Right_ventricle_myocardium_inferior	2.5e+08	0.337862642	ENCODE_Data
ENCSR979TCG	748267122	spleen	2.5e+08	0.334105285	ENCODE_Data
ENCSR848TMJ	753142282	heart_left_ventricle	2.5e+08	0.33194259	ENCODE_Data
ENCSR238VHV	768771690	fallopian_tube	2.5e+08	0.325194077	ENCODE_Data
ENCSR227FVE	777448164	ovary	2.5e+08	0.321564847	ENCODE_Data
ENCSR996ZCR	790397172	ovary	2.5e+08	0.316296678	ENCODE_Data
ENCSR607BTF	807025683	right_lobe_of_liver	2.5e+08	0.309779484	ENCODE_Data
ENCSR775SYU	811780562	uterus	2.5e+08	0.307964999	ENCODE_Data
ENCSR600ZHS	830549969	left_colon	2.5e+08	0.301005369	ENCODE_Data
ENCSR774NXA	833771306	psoas_muscle	2.5e+08	0.299842413	ENCODE_Data
ENCSR251POP	881564644	pancreas	2.5e+08	0.283586691	ENCODE_Data
ENCSR948MQC	895686725	lower_lobe_of_right_lung	2.5e+08	0.279115446	ENCODE_Data
ENCSR491VXJ	902356409	mucosa_of_descending_colon	2.5e+08	0.27705239	ENCODE_Data
ENCSR451JSB	1052009374	heart_left_ventricle	2.5e+08	0.237640468	ENCODE_Data
ENCSR241OBO	1059134094	adrenal_gland	2.5e+08	0.236041877	ENCODE_Data
ENCSR769DGC	1060875584	heart_left_ventricle	2.5e+08	0.235654401	ENCODE_Data
ENCSR303PWB	1075729318	esophagus_mucosa	2.5e+08	0.232400471	ENCODE_Data
ENCSR074WMH	1082922186	Right_ventricle_myocardium_superior	2.5e+08	0.230856846	ENCODE_Data
ENCSR133CMC	1092964897	heart_right_ventricle	2.5e+08	0.228735617	ENCODE_Data
ENCSR530XBF	1127269296	pancreas	2.5e+08	0.221774869	ENCODE_Data
ENCSR542RNG	1133653640	adrenal_gland	2.5e+08	0.220525909	ENCODE_Data
ENCSR552QUA	1136481725	posterior_vena_cava	2.5e+08	0.21997714	ENCODE_Data
ENCSR496PPU	1172613529	mucosa_of_descending_colon	2.5e+08	0.213198973	ENCODE_Data
ENCSR439TZT	1189000532	heart_right_ventricle	2.5e+08	0.210260629	ENCODE_Data
ENCSR624ODL	1208729030	left_lobe_of_liver	2.5e+08	0.206828821	ENCODE_Data
ENCSR682ETE	1239781866	lower_lobe_of_left_lung	2.5e+08	0.201648376	ENCODE_Data
ENCSR516CPW	1241946412	right_lobe_of_liver	2.5e+08	0.20129693	ENCODE_Data
ENCSR310UDW	1280982820	left_cardiac_atrium	2.5e+08	0.195162649	ENCODE_Data
ENCSR952SPO	1289523424	right_lobe_of_liver	2.5e+08	0.193870073	ENCODE_Data
ENCSR925LGW	1309199433	heart_left_ventricle	2.5e+08	0.190956392	ENCODE_Data
ENCSR836FIL	1310597965	right_lobe_of_liver	2.5e+08	0.190752623	ENCODE_Data
ENCSR990NNX	1337331592	upper_lobe_of_right_lung	2.5e+08	0.186939426	ENCODE_Data
ENCSR553LAZ	1365574430	adrenal_gland	2.5e+08	0.183073141	ENCODE_Data
ENCSR685ZMP	1431172181	right_lobe_of_liver	2.5e+08	0.174681987	ENCODE_Data
ENCSR374ZRW	1448817767	heart_right_ventricle	2.5e+08	0.172554482	ENCODE_Data
ENCSR204PZT	1493470429	heart_left_ventricle	2.5e+08	0.167395347	ENCODE_Data
ENCSR310RJN	1604544233	heart_left_ventricle	2.5e+08	0.155807484	ENCODE_Data
ENCSR437OOJ	1628213075	heart_right_ventricle	2.5e+08	0.153542558	ENCODE_Data
ENCSR651SOJ	1637981851	adrenal_gland	2.5e+08	0.152626844	ENCODE_Data
ENCSR970UNF	1643492547	colonic_mucosa	2.5e+08	0.15211508	ENCODE_Data
ENCSR555ZDH	1987152485	lower_lobe_of_left_lung	2.5e+08	0.125808161	ENCODE_Data
ENCSR392UJM	2173795762	ovary	2.5e+08	0.115006205	ENCODE_Data
ENCSR212LYK	4022882494	heart_right_ventricle	2.5e+08	0.062144495	ENCODE_Data
brain_anterior_cingulate_cortex_Neuronal	409556830		2.5e+08	0.610415898	Brain_Data_(Biological_Replicates)
brain_basal_amygdala_NonNeuronal	268535714		2.5e+08	0.930974865	Brain_Data_(Biological_Replicates)
brain_dorsolateral_prefrontal_cortex_NonNeuronal	585047428		2.5e+08	0.427315783	Brain_Data_(Biological_Replicates)
brain_hippocampus_Neuronal	303988640		2.5e+08	0.822399153	Brain_Data_(Biological_Replicates)
brain_inferior_temporal_cortex_NonNeuronal	453532874		2.5e+08	0.551227958	Brain_Data_(Biological_Replicates)
brain_medial_orbitofrontal_cortex_NonNeuronal	468764936		2.5e+08	0.53331634	Brain_Data_(Biological_Replicates)
brain_mediodorsal_thalamus_Neuronal	308537791		2.5e+08	0.810273514	Brain_Data_(Biological_Replicates)
brain_mediodorsal_thalamus_NonNeuronal	360245287		2.5e+08	0.693971605	Brain_Data_(Biological_Replicates)
brain_posterior_superior_temporal_cortex_Neuronal	378830051		2.5e+08	0.659926527	Brain_Data_(Biological_Replicates)
brain_posterior_superior_temporal_cortex_NonNeuronal	328822179		2.5e+08	0.760289348	Brain_Data_(Biological_Replicates)
brain_primary_motor_cortex_Neuronal	495327187		2.5e+08	0.504716895	Brain_Data_(Biological_Replicates)
brain_primary_motor_cortex_NonNeuronal	453535430		2.5e+08	0.551224851	Brain_Data_(Biological_Replicates)
brain_putamen_Neuronal	522190043		2.5e+08	0.478752905	Brain_Data_(Biological_Replicates)
brain_putamen_NonNeuronal	493964640		2.5e+08	0.506109101	Brain_Data_(Biological_Replicates)
brain_ventrolateral_prefrontal_cortex_NonNeuronal	356035044		2.5e+08	0.70217807	Brain_Data_(Biological_Replicates)
liver-male-54-684B	643225878		2.5e+08	0.388665955	Liver_Data
liver-male-16-786	762385932		2.5e+08	0.327917908	Liver_Data
liver-male-16-794	681850509		2.5e+08	0.366649283	Liver_Data
liver-male-50-795	590191938		2.5e+08	0.423591012	Liver_Data
liver-female-16-753	780743877		2.5e+08	0.320207442	Liver_Data
liver-female-49-670B	665074584		2.5e+08	0.37589769	Liver_Data
liver-female-17-651	859281234		2.5e+08	0.290940835	Liver_Data
liver-female-49-683	748938713		2.5e+08	0.333805685	Liver_Data
liver-female-35-662	638017483		2.5e+08	0.391838792	Liver_Data
liver-female-30-767	835331203		2.5e+08	0.299282487	Liver_Data
liver-female-7-438	1200763517		2.5e+08	0.208200863	Liver_Data
